,CreditBureauID,CustomerID,ReportDate,CreditScore,OutstandingDebt,MaxCreditLimit,DerogatoryMarks
0,3676,1000,2019-05-12,332,18788.05,29898.94,Foreclosure
1,7324,1001,2018-10-04,479,22106.8,40186.16,"Late Payment, Bankruptcy, Collection, Foreclosure"
2,8908,1002,2022-02-04,331,13690.69,7587.19,
3,3221,1003,2020-10-02,469,21755.27,46171.14,"Bankruptcy, Collection, Late Payment, Foreclosure"
4,8639,1004,2022-01-30,384,20317.56,36044.04,"Late Payment, Foreclosure"
5,8469,1005,2022-10-27,532,47655.13,21522.5,"Collection, Late Payment"
6,4429,1006,2019-02-09,421,23909.78,44939.56,"Foreclosure, Bankruptcy, Collection, Late Payment"
7,7721,1007,2023-04-20,699,41812.18,25115.19,"Bankruptcy, Late Payment"
8,9681,1008,2021-02-14,335,4783.77,40025.85,"Late Payment, Bankruptcy"
9,6156,1009,2020-05-15,428,45600.38,29023.17,"Bankruptcy, Collection, Late Payment"
10,9485,1010,2022-03-04,842,12213.66,44338.36,"Late Payment, Bankruptcy"
11,3013,1011,2023-06-14,621,589.87,7534.44,"Bankruptcy, Late Payment"
12,3961,1012,2021-12-23,420,18362.33,13289.11,
13,5360,1013,2023-02-09,777,22285.07,33607.47,"Foreclosure, Collection"
14,5157,1014,2021-09-03,472,1288.13,23817.21,
15,5966,1015,2020-07-17,439,27360.59,11812.71,"Bankruptcy, Foreclosure, Collection"
16,3283,1016,2020-03-07,305,17026.34,31695.79,
17,4793,1017,2023-02-01,523,46875.63,23699.95,"Foreclosure, Collection, Late Payment, Bankruptcy"
18,8897,1018,2022-06-29,610,47678.39,34730.68,"Foreclosure, Late Payment, Collection, Bankruptcy"
19,9068,1019,2021-08-19,608,10414.58,38278.54,
20,9661,1020,2021-04-08,340,27271.6,27390.57,"Collection, Bankruptcy"
21,8141,1021,2019-08-30,421,24027.19,27382.26,
22,8320,1022,2020-11-05,528,2675.85,49663.17,
23,7772,1023,2021-07-21,703,39137.38,44510.69,Collection
24,5106,1024,2020-07-20,612,25683.94,23632.49,"Bankruptcy, Late Payment, Foreclosure, Collection"
25,8698,1025,2020-01-04,782,9306.66,40368.87,"Bankruptcy, Collection, Foreclosure"
26,4151,1026,2022-02-09,332,45689.9,45079.28,Collection
27,7148,1027,2022-06-03,797,9015.32,43749.5,"Collection, Foreclosure, Bankruptcy"
28,5481,1028,2021-11-20,701,36821.32,14233.27,"Foreclosure, Bankruptcy"
29,5025,1029,2023-08-13,836,17957.04,39735.95,Foreclosure
30,7085,1030,2021-04-08,445,2788.68,38873.5,Foreclosure
31,4778,1031,2022-07-29,344,13869.84,25506.5,"Foreclosure, Late Payment, Collection"
32,3288,1032,2020-01-08,327,1537.01,27731.29,"Late Payment, Foreclosure, Collection"
33,6663,1033,2021-03-30,461,61.91,15752.89,"Foreclosure, Bankruptcy"
34,5462,1034,2022-02-13,410,15073.8,47444.18,"Bankruptcy, Late Payment, Collection"
35,8917,1035,2022-09-28,662,32352.47,21475.46,"Bankruptcy, Late Payment, Collection"
36,4292,1036,2022-04-14,490,41709.8,40162.36,"Foreclosure, Late Payment, Collection"
37,4354,1037,2019-07-08,630,13414.46,20801.0,
38,9359,1038,2020-08-29,616,41838.21,37241.12,
39,5869,1039,2023-08-16,627,2265.23,40541.06,
40,9341,1040,2019-01-29,598,44429.45,6466.45,
41,3320,1041,2020-08-19,778,22142.82,11433.88,
42,5371,1042,2022-05-13,498,33640.86,35762.93,"Collection, Bankruptcy, Late Payment"
43,3946,1043,2020-07-04,662,20962.99,23996.19,"Bankruptcy, Late Payment"
44,5515,1044,2018-11-29,577,29917.69,11992.31,Late Payment
45,8714,1045,2020-12-08,316,40172.54,29060.89,"Collection, Foreclosure"
46,9102,1046,2019-01-04,673,30336.99,15064.85,"Collection, Bankruptcy, Late Payment"
47,4383,1047,2021-07-03,796,27456.88,32396.1,"Foreclosure, Late Payment"
