,LoanID,CustomerID,LoanDate,LoanAmount,LoanStatus
0,35257,1002,2021-01-28,13639.97,Approved
1,70375,1003,2022-07-09,23034.6,Approved
2,24878,1005,2019-05-26,24256.71,Rejected
3,76642,1006,2019-02-01,37880.25,Rejected
4,63607,1007,2019-11-01,28399.66,Rejected
5,82500,1009,2021-09-29,18183.85,Approved
6,80305,1010,2021-05-02,34617.3,Pending
7,60652,1011,2018-10-21,39569.13,Rejected
8,52906,1012,2019-09-30,47816.29,Approved
9,94112,1013,2021-12-28,3223.72,Approved
10,50674,1016,2019-06-16,34544.8,Rejected
11,46847,1017,2020-07-22,28839.31,Rejected
12,47899,1021,2020-01-07,16844.05,Pending
13,48213,1022,2021-07-07,22899.9,Pending
14,59513,1023,2022-05-27,11246.49,Pending
15,70133,1024,2018-11-26,29541.29,Pending
16,88706,1025,2021-10-02,43616.12,Pending
17,71473,1026,2019-11-24,15959.8,Pending
18,52053,1029,2019-06-05,14004.54,Pending
19,50450,1030,2021-04-12,38618.25,Approved
20,22373,1031,2018-10-16,26517.2,Rejected
21,62062,1032,2019-10-17,17988.95,Rejected
22,49639,1034,2019-10-20,24783.45,Approved
23,89159,1036,2021-05-17,48223.28,Rejected
24,37557,1038,2019-10-30,6112.44,Approved
25,49289,1039,2020-02-08,47871.75,Rejected
26,87029,1040,2020-07-06,17772.95,Pending
27,99280,1044,2021-02-15,17700.98,Pending
28,93747,1045,2021-08-26,8476.43,Rejected
29,60546,1047,2021-08-23,29957.19,Approved
30,73932,1048,2022-04-25,4980.89,Pending
31,34615,1050,2021-07-23,38827.04,Rejected
32,34696,1051,2022-04-06,30660.5,Approved
33,92902,1053,2019-04-19,44710.51,Rejected
34,49577,1054,2020-09-05,18574.21,Approved
35,41156,1055,2019-08-18,32037.25,Rejected
36,79930,1057,2019-01-10,2213.26,Approved
37,82196,1058,2021-06-03,44048.39,Approved
38,47627,1059,2019-11-21,29321.51,Pending
39,55233,1062,2021-06-30,38343.59,Pending
40,53144,1064,2021-08-24,11194.87,Approved
41,72633,1065,2022-06-16,49602.33,Pending
42,88219,1066,2021-07-23,44376.77,Rejected
43,91708,1068,2019-10-30,46408.18,Rejected
44,58186,1069,2022-05-20,45747.68,Pending
45,68602,1070,2021-03-15,12857.3,Rejected
46,22237,1073,2020-11-01,8534.46,Rejected
47,30026,1075,2022-08-22,22380.63,Rejected
48,33533,1076,2021-05-30,33733.77,Pending
49,76465,1077,2020-06-07,8806.79,Pending
50,67634,1078,2021-02-13,16723.35,Approved
51,37474,1079,2020-07-03,8223.62,Approved
52,71963,1080,2019-09-24,3700.83,Approved
53,64692,1081,2022-07-06,12034.13,Pending
54,40520,1082,2022-06-11,6363.61,Pending
55,74156,1083,2019-05-22,24537.86,Approved
56,43133,1084,2019-01-24,25864.88,Pending
